2024-05-21 00:13:01,966 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5080, 0.0565, 0.5622, 0.2281])
2024-05-21 00:13:01,966 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,967 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,967 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,038 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1067e-01, 3.0677e-05, 6.7845e-01, 3.6285e-01])
2024-05-21 00:13:02,039 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,043 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,045 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,050 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5079, 0.0568, 0.5630, 0.2279])
2024-05-21 00:13:02,050 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,050 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,051 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,133 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1089e-01, 3.3506e-05, 6.7819e-01, 3.6278e-01])
2024-05-21 00:13:02,133 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,134 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,135 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,142 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5085, 0.0571, 0.5623, 0.2277])
2024-05-21 00:13:02,144 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,146 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,147 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,224 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1072e-01, 6.7266e-05, 6.7866e-01, 3.6264e-01])
2024-05-21 00:13:02,225 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,225 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,227 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
