2024-05-21 00:38:12,016 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3480e+02, 2.8305e-02, 4.3424e+02, 1.7439e+02])
2024-05-21 00:38:12,022 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,024 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,025 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,029 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([324.3251,  26.9938, 358.7369, 109.4117])
2024-05-21 00:38:12,034 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,035 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,036 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,112 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3485e+02, 2.4872e-02, 4.3423e+02, 1.7427e+02])
2024-05-21 00:38:12,114 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,115 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,116 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,118 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([324.3796,  27.4642, 357.8047, 109.6469])
2024-05-21 00:38:12,120 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,120 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,121 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,187 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3483e+02, 1.7197e-02, 4.3410e+02, 1.7424e+02])
2024-05-21 00:38:12,189 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,190 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,191 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,192 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([325.1092,  27.1250, 359.8057, 109.5004])
2024-05-21 00:38:12,195 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,195 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:12,195 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:12,275 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3483e+02, 1.4725e-02, 4.3421e+02, 1.7417e+02])
